mktrf,smb,hml,rf,dateff
0.095700,0.028400,-0.041500,0.00080,2022-07-29
-0.037700,0.014100,0.001800,0.00190,2022-08-31
-0.093400,-0.007600,0.000300,0.00190,2022-09-30
0.078500,0.000100,0.079700,0.00230,2022-10-31
0.046500,-0.035700,0.014800,0.00290,2022-11-30
-0.063800,-0.007600,0.013400,0.00330,2022-12-30
0.066100,0.050100,-0.039400,0.00350,2023-01-31
-0.025700,0.010500,-0.008000,0.00340,2023-02-28
0.024800,-0.054800,-0.090500,0.00360,2023-03-31
0.006200,-0.033700,-0.001200,0.00350,2023-04-28
0.003400,0.016000,-0.077900,0.00360,2023-05-31
0.064600,0.014900,-0.001300,0.00400,2023-06-30
0.032100,0.020500,0.040600,0.00450,2023-07-31
-0.023600,-0.031400,-0.011500,0.00450,2023-08-31
-0.052300,-0.025100,0.014900,0.00430,2023-09-29
-0.031500,-0.038600,0.002000,0.00470,2023-10-31
0.088800,-0.001000,0.016700,0.00440,2023-11-30
0.048500,0.063000,0.048900,0.00430,2023-12-29
0.007300,-0.050700,-0.023800,0.00470,2024-01-31
0.050700,-0.002400,-0.034300,0.00420,2024-02-29
0.028400,-0.025000,0.041600,0.00430,2024-03-28
-0.046500,-0.023700,-0.004500,0.00470,2024-04-30
0.043300,0.005500,-0.013100,0.00440,2024-05-31
0.028000,-0.030000,-0.033600,0.00410,2024-06-28
0.012200,0.068100,0.056200,0.00450,2024-07-31
0.016000,-0.034900,-0.011000,0.00480,2024-08-30
0.017200,-0.001300,-0.027700,0.00400,2024-09-30
-0.010000,-0.009900,0.008600,0.00390,2024-10-31
0.064900,0.044600,0.001500,0.00400,2024-11-29
-0.031700,-0.027100,-0.030000,0.00370,2024-12-31
