EQIX,EQUINIX REIT INC,Real Estate,Equity,"1,027,943,584.80",0.17,"1,027,943,584.80","1,126,884.00",912.20,United States,NASDAQ,USD,1.0,USD,-,2017,6
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"1,020,366,707.67",0.17,"1,020,366,707.67","2,684,681.00",380.07,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"1,015,020,213.75",0.17,"1,015,020,213.75","50,124,455.00",20.25,United States,NASDAQ,USD,1.0,USD,-,2017,6
WM,WASTE MANAGEMENT INC,Industrials,Equity,"1,010,087,836.95",0.17,"1,010,087,836.95","4,228,255.00",238.89,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"997,714,021.98",0.17,"997,714,021.98","14,973,946.00",66.63,United States,NASDAQ,USD,1.0,USD,-,2017,6
PH,PARKER-HANNIFIN CORP,Industrials,Equity,"991,441,055.50",0.17,"991,441,055.50","1,490,575.00",665.14,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
AJG,ARTHUR J GALLAGHER,Financials,Equity,"990,339,003.72",0.17,"990,339,003.72","2,944,458.00",336.34,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
CI,CIGNA,Health Care,Equity,"982,955,421.64",0.17,"982,955,421.64","3,169,597.00",310.12,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
SHW,SHERWIN WILLIAMS,Materials,Equity,"971,512,073.10",0.17,"971,512,073.10","2,682,105.00",362.22,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
KKR,KKR AND CO INC,Financials,Equity,"941,731,661.52",0.16,"941,731,661.52","7,814,552.00",120.51,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
TDG,TRANSDIGM GROUP INC,Industrials,Equity,"940,607,589.90",0.16,"940,607,589.90","649,277.00","1,448.70",United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"934,662,003.20",0.16,"934,662,003.20","3,174,803.00",294.40,United States,NASDAQ,USD,1.0,USD,-,2017,6
AON,AON PLC CLASS A,Financials,Equity,"932,795,668.66",0.16,"932,795,668.66","2,503,343.00",372.62,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
CVS,CVS HEALTH CORP,Health Care,Equity,"927,800,399.37",0.16,"927,800,399.37","14,594,941.00",63.57,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
MMM,3M,Industrials,Equity,"922,663,413.45",0.16,"922,663,413.45","6,284,745.00",146.81,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,"909,301,654.20",0.15,"909,301,654.20","665,380.00","1,366.59",United States,NASDAQ,USD,1.0,USD,"Jan 01, 1970",2017,6
CTAS,CINTAS CORP,Industrials,Equity,"902,856,029.79",0.15,"902,856,029.79","3,970,867.00",227.37,United States,NASDAQ,USD,1.0,USD,-,2017,6
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"873,924,703.52",0.15,"873,924,703.52","5,183,728.00",168.59,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
MCO,MOODYS CORP,Financials,Equity,"870,099,420.96",0.15,"870,099,420.96","1,792,098.00",485.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,"864,911,701.53",0.15,"864,911,701.53","3,927,311.00",220.23,United States,NASDAQ,USD,1.0,USD,-,2017,6
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"858,318,423.71",0.15,"858,318,423.71","13,674,023.00",62.77,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
WMB,WILLIAMS INC,Energy,Equity,"848,368,650.60",0.14,"848,368,650.60","14,111,255.00",60.12,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
