Date,Open,High,Low,Close,Adj
1-Apr-10,643.77,673.64,643.77,655.06,655.06
1-Mar-10,607.43,650.05,607.43,643.79,643.79
1-Feb-10,589.41,612.06,573.07,607.45,607.45
1-Jan-10,612,631.74,588.23,589.41,589.41
1-Dec-09,598.38,620.87,594.22,612.01,612.01
1-Nov-09,566.5,609.5,562.49,598.41,598.41
1-Oct-09,579.96,604.08,559.07,566.5,566.5
1-Sep-09,558.19,592.69,542.54,579.97,579.97
1-Aug-09,539.88,567.57,535.41,558.21,558.21
1-Jul-09,502.21,544.91,474.1,539.88,539.88
1-Jun-09,501.93,522.5,484.51,502.27,502.27
1-May-09,476.83,507.72,473.08,501.95,501.95
1-Apr-09,433.6,485.69,425.59,476.84,476.84
1-Mar-09,399.61,453.04,362.25,433.67,433.67
1-Feb-09,445.67,474.69,398.76,399.61,399.61
1-Jan-09,487.77,510.6,435.85,447.32,447.32
1-Dec-08,481.4,495.18,437.54,487.77,487.77
1-Nov-08,522.47,542.64,396.21,481.43,481.43
1-Oct-08,634.01,634.03,453.68,522.47,522.47
1-Sep-08,702.14,712.55,602.34,633.32,633.32
1-Aug-08,694.07,716.79,681.81,702.17,702.17
1-Jul-08,703.09,709.12,657.67,694.07,694.07
1-Jun-08,768.25,771.43,699.26,703.22,703.22
1-May-08,755.9,788.34,752.28,768.28,768.28
1-Apr-08,720.32,766.17,720.29,756.03,756.03
1-Mar-08,725.09,739.4,684.14,720.32,720.32
1-Feb-08,751.09,761.29,718.09,726.42,726.42
1-Jan-08,799.73,803.25,690.22,750.97,750.97
1-Dec-07,805.94,830.31,781.42,799.82,799.82
1-Nov-07,842.93,842.93,765.9,806.44,806.44
1-Oct-07,830.71,858.64,812,844.2,844.2
1-Sep-07,801.31,836.09,782.49,830.59,830.59
1-Aug-07,791.69,817.06,742.84,802.82,802.82
1-Jul-07,819.1,847.44,791.11,792.11,792.11
1-Jun-07,835.7,840.59,807.13,818.18,818.18
1-May-07,808.25,837.67,804.4,835.14,835.14
1-Apr-07,775.99,817,773.68,807.82,807.82
1-Mar-07,766.65,785.9,744.55,775.97,775.97
1-Feb-07,784.41,798.86,759.91,768.66,768.66
1-Jan-07,770.52,785.87,763.03,784.11,784.11
1-Dec-06,761.43,777.81,753.64,770.08,770.08
1-Nov-06,747.4,765.02,737.77,761.44,761.44
1-Oct-06,723.36,753.46,718.53,747.3,747.3
1-Sep-06,708.12,726.11,699.68,723.48,723.48
1-Aug-06,692.36,708.72,680.7,707.55,707.55
1-Jul-06,692.43,697.19,664.77,692.59,692.59
1-Jun-06,691.95,703.41,663.18,691.81,691.81
1-May-06,714.64,723.25,677.25,691.78,691.78
1-Apr-06,707.24,719.03,698.52,714.37,714.37
1-Mar-06,698.2,714.22,690.33,706.75,706.75
1-Feb-06,697.07,706.96,683.36,697.83,697.83
1-Jan-06,679.96,705.05,677.51,697.79,697.79
1-Dec-05,680.09,693.72,678.47,679.42,679.42
1-Nov-05,655.41,690.76,653.08,679.35,679.35
1-Oct-05,668.57,671.21,633.88,656.09,656.09
1-Sep-05,663.08,675.31,654.43,668.53,668.53
1-Aug-05,670.61,676.67,652.13,663.13,663.13
1-Jul-05,646.13,675.67,642.49,670.26,670.26
1-Jun-05,644.1,660.04,643.23,645.92,645.92
1-May-05,623.46,648.05,618.57,644.28,644.28
1-Apr-05,636.16,641.74,612.69,623.32,623.32
1-Mar-05,647.29,660.63,626.49,635.78,635.78
1-Feb-05,634.16,651.36,633.98,646.93,646.93
1-Jan-05,651.26,653.91,624.33,633.99,633.99
1-Dec-04,629.59,653.9,629.24,650.99,650.99
1-Nov-04,604.5,636.21,603.11,629.26,629.26
1-Oct-04,596.56,610.11,583.54,604.51,604.51
1-Sep-04,588.7,604.37,586.83,595.66,595.66
1-Aug-04,587.1,591.83,565.5,589.09,589.09
1-Jul-04,609.23,609.23,574.74,587.21,587.21
1-Jun-04,598.63,612.1,595.7,609.31,609.31
1-May-04,592.61,602.81,574.88,599.4,599.4
1-Apr-04,603.46,616.29,591.77,591.83,591.83
1-Mar-04,613.2,622.76,582.28,603.42,603.42
1-Feb-04,605.61,619.63,600.89,612.58,612.58
1-Jan-04,594.98,618.34,591.22,605.21,605.21
1-Dec-03,569.07,595.26,563.94,594.56,594.56
1-Nov-03,563.09,570.67,553.27,568.32,568.32
1-Oct-03,532.15,563.78,532.15,562.51,562.51
1-Sep-03,538.4,555.46,529.11,532.15,532.15
1-Aug-03,528.53,539.45,512.41,538.4,538.4
1-Jul-03,518.93,541.49,512.43,528.53,528.53
1-Jun-03,512.92,539.98,512.92,518.94,518.94
1-May-03,486.09,513.44,478.73,512.92,512.92
1-Apr-03,450.35,489.6,450.18,486.09,486.09
1-Mar-03,446.37,474.61,419.02,450.35,450.35
1-Feb-03,454.3,458.69,427.69,446.37,446.37
1-Jan-03,466.18,494.95,446.05,454.3,454.3
1-Dec-02,495.01,504.27,460.65,466.18,466.18
1-Nov-02,468.51,497.9,460.71,495,495
1-Oct-02,433.22,479.34,406.53,468.51,468.51
1-Sep-02,486.08,490.02,425.28,433.22,433.22
1-Aug-02,484.39,511.74,443.09,486.08,486.08
1-Jul-02,523.71,525.59,412.48,484.39,484.39
1-Jun-02,566.18,568.23,503.66,523.72,523.72
1-May-02,572.04,586.62,556.51,566.18,566.18
1-Apr-02,607.35,607.84,564.63,572.04,572.04
1-Mar-02,583.88,620.63,583.88,607.35,607.35
